Entity	Code	Year	"GDP per capita, PPP (constant 2017 international $)"	Population (historical estimates)
Denmark	DNK	2011	51293.207	5576016
Finland	FIN	2020	47443.902	5529468
Finland	FIN	2019	48583.434	5521539
Finland	FIN	2018	48048.523	5515465
Denmark	DNK	2019	56813.965	5795879
Denmark	DNK	2021	57962.652	5854246
Finland	FIN	2017	47570.133	5508146
Denmark	DNK	2020	55518.598	5825638
Denmark	DNK	2018	56178.773	5766689
Norway	NOR	2017	64050.758	5277396
Switzerland	CHE	2014	67824.086	8187792
Finland	FIN	2011	46825.824	5388173
Switzerland	CHE	2020	68670.24	8638609
Iceland	ISL	2014	50450.742	327650
Switzerland	CHE	2019	70857.086	8575593
Iceland	ISL	2021	53586.156	370338
Denmark	DNK	2017	55356.68	5737286
Iceland	ISL	2020	52174.574	366682
Norway	NOR	2018	64341.258	5312321
Norway	NOR	2016	63104.082	5236591
Denmark	DNK	2014	52048.336	5650654
Denmark	DNK	2015	52892.645	5677795
Norway	NOR	2011	61157.13	4953565
Denmark	DNK	2016	54185.008	5706856
Norway	NOR	2014	62390.13	5137926
Netherlands	NLD	2011	52594.23	16701470
Switzerland	CHE	2021	71032.84	8691409
Switzerland	CHE	2015	68159.22	8281735
Iceland	ISL	2019	56923.17	360787
Iceland	ISL	2016	54665.766	335677
Iceland	ISL	2015	52142.934	331068
Canada	CAN	2011	45822.598	34323536
Switzerland	CHE	2011	66587.85	7910988
Norway	NOR	2015	62987.516	5190357
Iceland	ISL	2017	55638.492	343641
Switzerland	CHE	2016	68813.64	8372902
Iceland	ISL	2018	56816.363	352951
Norway	NOR	2019	64385.008	5348285
Netherlands	NLD	2018	56060.914	17286042
Switzerland	CHE	2017	69103.57	8451688
Switzerland	CHE	2018	70558.56	8514431
Finland	FIN	2016	46206.79	5495217
Netherlands	NLD	2020	54275.004	17434562
Netherlands	NLD	2019	56784.04	17363260
Netherlands	NLD	2017	55088.633	17207204
Canada	CAN	2014	47564.61	35404616
Netherlands	NLD	2021	56617.35	17501696
Finland	FIN	2015	45072.59	5479457
Finland	FIN	2014	44976.777	5461436
Canada	CAN	2015	47522.14	35732120
Luxembourg	LUX	2021	115683.49	639330
Norway	NOR	2020	63548	5379836
Sweden	SWE	2021	53613.42	10467095
Sweden	SWE	2011	48947.438	9467384
Netherlands	NLD	2014	52186.996	16954080
Netherlands	NLD	2016	53847.83	17124512
New Zealand	NZL	2011	38137.492	4381274
Norway	NOR	2021	65662.17	5403021
Sweden	SWE	2014	49258.996	9747507
Israel	ISR	2021	42061.242	8900057
Sweden	SWE	2020	51331.28	10368968
Sweden	SWE	2019	52850.57	10267922
Australia	AUS	2011	45405.367	22357032
Sweden	SWE	2018	52349.293	10162300
Netherlands	NLD	2015	52974.117	17041110
New Zealand	NZL	2015	41020.312	4590591
Canada	CAN	2017	48317.176	36554344
Luxembourg	LUX	2020	111751.31	630401
New Zealand	NZL	2017	42218.54	4746253
Canada	CAN	2016	47457.586	36113532
Sweden	SWE	2017	51947.953	10058191
New Zealand	NZL	2016	41620.348	4668088
Australia	AUS	2015	47567.68	23820240
