Entity	Code	Year	"GDP per capita, PPP (constant 2017 international $)"	Population (historical estimates)	"Homicide rate per 100,000 population - Both sexes - All ages"
Afghanistan	AFG	2009	1823.7426	27385310	4.0715265
Afghanistan	AFG	2010	2026.1638	28189672	3.4870927
Afghanistan	AFG	2011	1961.0963	29249156	4.208668
Afghanistan	AFG	2012	2122.8308	30466484	6.393913
Afghanistan	AFG	2015	2108.714	33753500	9.975262
Afghanistan	AFG	2016	2101.422	34636212	6.6924186
Afghanistan	AFG	2017	2096.093	35643420	6.8006945
Afghanistan	AFG	2018	2060.699	36686788	6.7435727
Afghanistan	AFG	2019	2079.9219	37769496	7.180397
Afghanistan	AFG	2020	1968.341	38972236	6.594439
Afghanistan	AFG	2021	1516.3057	40099460	4.0224977
Albania	ALB	1992	3265.4143	3303738	3.9349356
Albania	ALB	1993	3599.4646	3300715	5.786633
Albania	ALB	1994	3922.3281	3294001	3.400123
Albania	ALB	1995	4472.415	3284370	7.8858495
Albania	ALB	1996	4909.825	3271336	8.314658
Albania	ALB	1997	4401.113	3253721	40.999237
Albania	ALB	1998	4819.9443	3232185	20.419683
Albania	ALB	1999	5475.845	3208265	16.582197
Albania	ALB	2000	5893.654	3182027	4.116881
Albania	ALB	2001	6442.612	3153615	6.9761276
Albania	ALB	2002	6755.1094	3123554	6.9152064
Albania	ALB	2003	7155.2964	3092993	5.3669734
Albania	ALB	2004	7581.5063	3062629	4.27738
Albania	ALB	2005	8041.5435	3032636	5.078094
Albania	ALB	2006	8570.107	3003391	3.1630955
Albania	ALB	2007	9151.78	2976089	3.5281267
Albania	ALB	2008	9913.951	2951690	3.1507385
Albania	ALB	2009	10315.777	2930553	2.900488
Albania	ALB	2010	10751.421	2913402	4.0845757
Albania	ALB	2011	11054.788	2900660	4.8954477
Albania	ALB	2012	11229.992	2892191	5.4284067
Albania	ALB	2013	11363.318	2887019	4.2950954
Albania	ALB	2014	11588.925	2884100	4.64616
Albania	ALB	2015	11880.598	2882482	2.22031
Albania	ALB	2016	12294.077	2881064	2.7420435
Albania	ALB	2017	12773.269	2879361	2.01434
Albania	ALB	2018	13319.495	2877019	2.294046
Albania	ALB	2019	13655.665	2873883	2.2617478
Albania	ALB	2020	13256.125	2866850	2.127772
Albania	ALB	2021	14518.906	2854710	2.3119686
Algeria	DZA	2006	10592.247	33435082	0.93315166
Algeria	DZA	2007	10775.532	33983836	0.79743814
Algeria	DZA	2008	10847.177	34569592	0.94881076
Algeria	DZA	2009	10824.576	35196040	0.78702044
Algeria	DZA	2010	11007.747	35856348	0.7083823
Algeria	DZA	2011	11113.969	36543548	0.76620924
Algeria	DZA	2012	11270.701	37260568	1.4036288
Algeria	DZA	2013	11360.638	38000628	1.2631371
Algeria	DZA	2014	11561.26	38760168	1.4886416
Algeria	DZA	2015	11751.634	39543148	1.38077
Algeria	DZA	2016	11888.323	40339328	1.343602
Algeria	DZA	2017	11809.483	41136548	1.2738065
Algeria	DZA	2018	11725.878	41927008	1.3547354
Algeria	DZA	2019	11627.28	42705372	1.2153039
Algeria	DZA	2020	10844.7705	43451668	1.5051206
Algeria	DZA	2021	11039.806	44177964	1.5731823
American Samoa	ASM	2001		58342	1.71456
American Samoa	ASM	2002		58200	12.032247
American Samoa	ASM	2003		57962	5.1777253
American Samoa	ASM	2004		57653	6.9413714
American Samoa	ASM	2005		57277	10.479617
American Samoa	ASM	2006		56857	7.037607
American Samoa	ASM	2007		56402	1.7736
American Samoa	ASM	2008		55909	5.3676386
American Samoa	ASM	2009		55386	3.6123252
American Samoa	ASM	2010		54871	9.115853
American Samoa	ASM	2011		54334	9.206408
American Samoa	ASM	2012		53718	3.7249844
American Samoa	ASM	2013		53017	5.6609116
American Samoa	ASM	2014		52234	5.7453103
American Samoa	ASM	2015		51391	7.786949
American Samoa	ASM	2016		50468	0
American Samoa	ASM	2017		49486	14.151993
American Samoa	ASM	2018		48445	26.846191
American Samoa	ASM	2019		47341	0
Andorra	AND	2004		76950	1.2998239
Andorra	AND	2007		78187	0
Andorra	AND	2008		76073	1.3148379
Andorra	AND	2009		73879	0
Andorra	AND	2010		71542	0
Andorra	AND	2011		70587	1.4170829
Andorra	AND	2012		71035	0
Andorra	AND	2013		71385	0
Andorra	AND	2014		71644	0
Andorra	AND	2015		71766	0
Andorra	AND	2020		77723	2.5740025
Angola	AGO	2011	7664.44	24259120	4.3488812
Angola	AGO	2012	8012.101	25188298	4.8316097
Angola	AGO	2015	7967.104	28127724	4.4582353
Angola	AGO	2016	7488.1387	29154742	4.102248
Anguilla	AIA	1990		8340	0
Anguilla	AIA	1991		8638	11.60564
Anguilla	AIA	1992		8911	0
Anguilla	AIA	1993		9144	10.963109
Anguilla	AIA	1994		9381	0
Anguilla	AIA	1995		9625	10.416124
Anguilla	AIA	1996		9886	0
Anguilla	AIA	1997		10152	9.870207
Anguilla	AIA	1998		10438	0
Anguilla	AIA	1999		10744	0
Anguilla	AIA	2000		11071	9.051822
Anguilla	AIA	2001		11367	0
Anguilla	AIA	2002		11583	17.30029
Anguilla	AIA	2003		11761	17.029972
Anguilla	AIA	2004		11957	8.37942
Anguilla	AIA	2005		12149	0
Anguilla	AIA	2006		12347	40.56795
Anguilla	AIA	2007		12546	31.937403
Anguilla	AIA	2008		12754	7.855151
Anguilla	AIA	2009		12970	7.724394
Anguilla	AIA	2010		13192	0
Anguilla	AIA	2011		13363	0
Anguilla	AIA	2012		13479	37.160908
Anguilla	AIA	2013		13727	7.29927
Anguilla	AIA	2014		14143	28.327608
Antigua and Barbuda	ATG	1990	15264.63	63346	1.5790803
Antigua and Barbuda	ATG	1991	15521.875	63653	4.714461
Antigua and Barbuda	ATG	1992	15452.782	64676	3.0931501
