Entity	Code	Year	"GDP per capita, PPP (constant 2017 international $)"	Population (historical estimates)	"Homicide rate per 100,000 population - Both sexes - All ages"	Life expectancy - Sex: all - Age: at birth - Variant: estimates	Cantril ladder score
Denmark	DNK	2011	51293.207	5576016	0.8249618	79.8	7.85574
Finland	FIN	2020	47443.902	5529468	1.645728	81.9	7.8421
Finland	FIN	2019	48583.434	5521539	1.466983	81.9	7.8087
Finland	FIN	2018	48048.523	5515465	1.5592532	81.6	7.7689
Denmark	DNK	2019	56813.965	5795879	1.1387403	81.4	7.6456
Denmark	DNK	2021	57962.652	5854246	0.80283684	81.4	7.6362
Finland	FIN	2017	47570.133	5508146	1.2163817	81.5	7.6321
Denmark	DNK	2020	55518.598	5825638	0.9441021	81.5	7.6195
Denmark	DNK	2018	56178.773	5766689	1.005777	81	7.6001
Norway	NOR	2017	64050.758	5277396	0.530565	82.6	7.5937
Switzerland	CHE	2014	67824.086	8187792	0.50074553	83.1	7.587
Finland	FIN	2011	46825.824	5388173	2.041511	80.4	7.579009
Switzerland	CHE	2020	68670.24	8638609	0.5440688	83.1	7.5715
Iceland	ISL	2014	50450.742	327650	0.3052098	82.6	7.561
Switzerland	CHE	2019	70857.086	8575593	0.53640634	83.8	7.5599
Iceland	ISL	2021	53586.156	370338	0.5400516	82.7	7.5575
Denmark	DNK	2017	55356.68	5737286	1.2375193	81.1	7.5553
Iceland	ISL	2020	52174.574	366682	1.3636277	82.6	7.5539
Norway	NOR	2018	64341.258	5312321	0.47060418	82.8	7.5539
Norway	NOR	2016	63104.082	5236591	0.51560277	82.4	7.537
Denmark	DNK	2014	52048.336	5650654	1.3095833	80.6	7.527
Denmark	DNK	2015	52892.645	5677795	1.0919731	80.7	7.526
Norway	NOR	2011	61157.13	4953565	2.2408123	81.2	7.524001
Denmark	DNK	2016	54185.008	5706856	0.9812757	80.9	7.522
Norway	NOR	2014	62390.13	5137926	0.56443036	82.1	7.522
Netherlands	NLD	2011	52594.23	16701470	0.85621196	81.1	7.512336
Switzerland	CHE	2021	71032.84	8691409	0.48323596	84	7.5116
Switzerland	CHE	2015	68159.22	8281735	0.6882618	82.8	7.509
Iceland	ISL	2019	56923.17	360787	0.27718145	82.4	7.5045
Iceland	ISL	2016	54665.766	335677	0.29790765	82	7.504
Iceland	ISL	2015	52142.934	331068	0.9061815	82.4	7.501
Canada	CAN	2011	45822.598	34323536	1.774293	81.5	7.499089
Switzerland	CHE	2011	66587.85	7910988	0.5814702	82.6	7.498953
Norway	NOR	2015	62987.516	5190357	0.462396	82.3	7.498
Iceland	ISL	2017	55638.492	343641	0.87302697	82.5	7.4952
Switzerland	CHE	2016	68813.64	8372902	0.53744835	83.4	7.494
Iceland	ISL	2018	56816.363	352951	0.8499884	82.8	7.4936
Norway	NOR	2019	64385.008	5348285	0.5235329	83	7.488
Netherlands	NLD	2018	56060.914	17286042	0.5785014	81.8	7.4876
Switzerland	CHE	2017	69103.57	8451688	0.5324381	83.4	7.4873
Switzerland	CHE	2018	70558.56	8514431	0.5872381	83.6	7.4802
Finland	FIN	2016	46206.79	5495217	1.3466251	81.3	7.469
Netherlands	NLD	2020	54275.004	17434562	0.61372364	81.6	7.464
Netherlands	NLD	2019	56784.04	17363260	0.62776226	82	7.4489
Netherlands	NLD	2017	55088.633	17207204	0.76712084	81.7	7.4413
Canada	CAN	2014	47564.61	35404616	1.4828578	81.9	7.427
Netherlands	NLD	2021	56617.35	17501696	0.65136546	81.7	7.4149
Finland	FIN	2015	45072.59	5479457	1.4964975	81.4	7.413
Finland	FIN	2014	44976.777	5461436	1.6112968	81	7.406
Canada	CAN	2015	47522.14	35732120	1.7099458	81.9	7.404
Luxembourg	LUX	2021	115683.49	639330	0.6256638	82.6	7.404
Norway	NOR	2020	63548	5379836	0.5762254	83.2	7.3925
Sweden	SWE	2021	53613.42	10467095	1.0795734	83	7.3843
Sweden	SWE	2011	48947.438	9467384	0.85556865	81.8	7.379463
Netherlands	NLD	2014	52186.996	16954080	0.725489	81.6	7.378
Netherlands	NLD	2016	53847.83	17124512	0.548921	81.5	7.377
New Zealand	NZL	2011	38137.492	4381274	0.89015305	80.9	7.372486
Norway	NOR	2021	65662.17	5403021	0.5367368	83.2	7.3651
Sweden	SWE	2014	49258.996	9747507	0.89253575	82.2	7.364
Israel	ISR	2021	42061.242	8900057	1.9438074	82.3	7.3638
Sweden	SWE	2020	51331.28	10368968	1.1958759	82.4	7.3627
Sweden	SWE	2019	52850.57	10267922	1.0810367	83.1	7.3535
Australia	AUS	2011	45405.367	22357032	1.1092706	82.1	7.344625
Sweden	SWE	2018	52349.293	10162300	1.0627518	82.5	7.3433
Netherlands	NLD	2015	52974.117	17041110	0.610289	81.5	7.339
New Zealand	NZL	2015	41020.312	4590591	1.0456172	82	7.334
Canada	CAN	2017	48317.176	36554344	1.8192091	82	7.3285
Luxembourg	LUX	2020	111751.31	630401	0.4758887	81.4	7.3244
New Zealand	NZL	2017	42218.54	4746253	0.7374241	82.2	7.3238
Canada	CAN	2016	47457.586	36113532	1.7057317	82	7.316
Sweden	SWE	2017	51947.953	10058191	1.1234626	82.4	7.3145
New Zealand	NZL	2016	41620.348	4668088	1.0711039	82.1	7.314
Australia	AUS	2015	47567.68	23820240	0.99075425	82.7	7.313
New Zealand	NZL	2018	42862.07	4838528	1.5500588	82.4	7.3075
New Zealand	NZL	2019	43110.37	4959033	2.601313	82.6	7.2996
Austria	AUT	2019	55806.438	8879939	0.867123	81.9	7.2942
Sweden	SWE	2015	50928.965	9849344	1.1371311	82.2	7.291
New Zealand	NZL	2014	40353.105	4514198	0.95255077	81.8	7.286
Ireland	IRL	2011	53712.285	4544504	0.92419386	80.6	7.284488
Australia	AUS	2016	48109.203	24195706	0.9381832	82.9	7.284
Australia	AUS	2014	47240.273	23469578	1.0353829	82.6	7.284
Sweden	SWE	2016	51334.434	9953322	1.0649716	82.3	7.284
Canada	CAN	2018	48962.48	37035260	1.7874861	82.1	7.2781
Israel	ISR	2014	37144.48	7863849	1.3733737	82.2	7.278
Australia	AUS	2017	48400.246	24590336	0.84586084	83	7.2721
United States	USA	2011	54960.906	313876608	4.6709437	78.8	7.270243
Austria	AUT	2020	51988.414	8907780	0.72969943	81.5	7.2678
Israel	ISR	2015	37321.016	8007777	1.3736645	82.1	7.267
Costa Rica	CRI	2011	17186.45	4679927	10.128365	79.3	7.251115
Austria	AUT	2018	55217.285	8840518	0.9727943	81.7	7.246
Luxembourg	LUX	2019	114542.5	619981	0.6451894	82.1	7.2375
Canada	CAN	2019	49171.51	37522584	1.8362274	82.4	7.2321
Australia	AUS	2018	49052.816	24979228	0.88473505	83.4	7.228
Austria	AUT	2011	53179.15	8391201	0.91762805	80.8	7.227316
Costa Rica	CRI	2014	18480.652	4844293	9.846647	78.8	7.226
Australia	AUS	2019	49379.094	25357168	0.887323	83.1	7.2228
Israel	ISR	2016	38251.297	8159015	1.2746646	82.5	7.213
Austria	AUT	2014	52932.9	8546066	0.4914542	81.4	7.2
Israel	ISR	2011	35301.82	7459750	1.9705757	81.7	7.198713
Israel	ISR	2017	39121.297	8309256	1.4802767	82.7	7.19
Mexico	MEX	2014	19141.92	118755888	16.849691	74.8	7.187
Australia	AUS	2020	48747.85	25670052	0.86092544	84.3	7.1835
Costa Rica	CRI	2018	20503.277	5040738	11.605453	79.5	7.1674
United Kingdom	GBR	2019	47362.266	66778660	1.150068	81.7	7.1645
Austria	AUT	2021	54121.145	8922086	0.7285295	81.6	7.163
Australia	AUS	2021	49774.34	25921094	0.74456745	84.5	7.1621
Israel	ISR	2020	39351.895	8757487	1.4273497	82.4	7.1571
Germany	DEU	2020	51840.33	83328992	0.93844897	81.1	7.1545
Austria	AUT	2017	54172.99	8797497	0.79568094	81.6	7.1394
Israel	ISR	2018	39936.77	8456487	1.3717287	82.8	7.1387
Israel	ISR	2019	40810.055	8607922	1.5334716	82.8	7.1286
Costa Rica	CRI	2019	20818.062	5084527	11.0728	79.4	7.1214
Austria	AUT	2015	52873.86	8642422	0.5091166	81.2	7.119
United States	USA	2014	57308.32	322033952	4.398294	79	7.119
United States	USA	2015	58427.55	324607776	4.892982	78.9	7.104
Canada	CAN	2020	46064.254	37888704	2.0032356	82	7.1033
Ireland	IRL	2019	86681.27	4896021	0.6535922	82.3	7.0937
Luxembourg	LUX	2018	114164.47	607920	0.49349168	81.8	7.0903
Costa Rica	CRI	2015	18956.191	4895241	11.378396	79.1	7.087
Ireland	IRL	2020	91099.75	4946123	0.6671898	82.5	7.0853
Costa Rica	CRI	2016	19553.6	4945205	11.688089	79.5	7.079
Germany	DEU	2019	53874.316	83148144	0.7492651	81.6	7.0758
Costa Rica	CRI	2017	20168.22	4993849	12.074873	79.4	7.0717
Costa Rica	CRI	2020	19824.348	5123107	11.126065	79.3	7.0694
United Kingdom	GBR	2020	41984.105	67059472	1.0035868	80.4	7.0636
United Kingdom	GBR	2018	46878.137	66432996	1.1364834	81.1	7.0537
Luxembourg	LUX	2011	112998.39	518207	0.7718938	80.8	7.050853
Ireland	IRL	2021	102496.22	4986525	0.4411889	82	7.0408
Puerto Rico	PRI	2015	34311.04	3497335	17.556225	79.7	7.039
Germany	DEU	2021	53179.656	83408560	0.83324784	80.6	7.0341
Canada	CAN	2021	47892.945	38155012	2.0652595	82.7	7.0251
Ireland	IRL	2018	83340.39	4834506	0.80670065	82.1	7.0211
Austria	AUT	2016	53345.742	8736491	0.6180974	81.6	7.006
Germany	DEU	2015	51159.297	82073232	0.8309653	80.6	6.994
United States	USA	2016	58972.902	327210208	5.3216558	78.8	6.993
Germany	DEU	2018	53431.395	82896696	0.9505807	81.2	6.985
Brazil	BRA	2014	15695.644	203459648	29.358646	74.3	6.983
United Arab Emirates	ARE	2011	57815.17	8575210	0.59473795	78.5	6.977243
Ireland	IRL	2017	77749.2	4771860	0.8172925	81.9	6.9771
Ireland	IRL	2016	72106.8	4715791	0.72098243	81.5	6.977
United States	USA	2021	63669.71	336997632	6.8074665	77.2	6.9768
Czechia	CZE	2020	38639.98	10530951	0.73117787	78.6	6.9647
Germany	DEU	2017	53071.457	82624368	0.9839711	80.9	6.9647
Brazil	BRA	2015	15011.577	205188208	28.356405	74.3	6.952
United States	USA	2020	60167.855	335942016	6.420751	77.4	6.9515
Germany	DEU	2016	51879.67	82331432	1.1696628	80.8	6.951
Luxembourg	LUX	2014	113313.58	556075	0.71933454	81.7	6.946
United States	USA	2019	62478.254	334319680	4.9859467	79.1	6.9396
United Kingdom	GBR	2011	42389.145	63286360	1.0128565	80.8	6.936396
Venezuela	VEN	2011		29096158	48.453133	72.9	6.922258
Czechia	CZE	2021	40740.992	10510748	0.44716123	77.7	6.9198
Czechia	CZE	2019	40989.727	10536876	0.9205769	79.2	6.9109
Luxembourg	LUX	2017	114985.84	596290	0.3354115	81.7	6.9099
Ireland	IRL	2015	71490.805	4665764	0.6644148	81.4	6.907
United Arab Emirates	ARE	2014	64334.09	8835957	0.69036144	79	6.901
United States	USA	2018	61355.65	332140032	4.929848	79	6.8923
Iceland	ISL	2011	48186.168	319308	0.93957585	82.2	6.888284
United States	USA	2017	59914.777	329791232	5.2439237	78.8	6.886
Luxembourg	LUX	2015	113182.73	569415	0.87810576	81.8	6.871
United Kingdom	GBR	2014	44247.03	64773504	0.90932244	81.2	6.867
Luxembourg	LUX	2016	116283.7	583355	0.8571169	82.1	6.863
Panama	PAN	2011	23461.873	3688679	14.883397	76.6	6.862561
Oman	OMN	2014	35032.258	4009272	0.29930654	77.4	6.853
United Kingdom	GBR	2017	46372.387	66064808	1.2245553	81.2	6.8143
Venezuela	VEN	2014		30193260	63.027313	72.9	6.81
Belgium	BEL	2021	51739.54	11611416	1.0765264	81.9	6.805
Singapore	SGP	2014	87616.64	5570505	0.25132388	82.7	6.798
United Arab Emirates	ARE	2019	71782.16	9211660	0.6947718	79.7	6.7908
Panama	PAN	2014	27440.566	3888795	15.531814	77.2	6.786
Mexico	MEX	2015	19542.89	120149896	17.28008	74.7	6.778
Malta	MLT	2019	45433.918	503646	0.9927835	83.2	6.7728
Spain	ESP	2011	36863.492	46729232	0.8238954	82.2	6.761248
Germany	DEU	2014	50845.527	81858824	0.87467664	80.9	6.75
France	FRA	2011	42862.414	62775272	1.3635943	81.8	6.746459
Mexico	MEX	2011	18432.37	114150480	23.839584	74.4	6.740288
Singapore	SGP	2015	89160.73	5650020	0.24778682	82.8	6.739
Malta	MLT	2018	44615.605	491590	1.6273856	83.3	6.7256
United Kingdom	GBR	2015	44948.336	65224368	0.99962646	80.9	6.725
United Kingdom	GBR	2016	45574.848	65655204	1.2017326	81.1	6.714
Czechia	CZE	2017	38824.887	10531315	0.62670296	79	6.7109
Chile	CHL	2015	24464.746	17870122	2.3446956	79.7	6.705
Panama	PAN	2015	28512.926	3957102	11.90266	77.5	6.701
Brazil	BRA	2011	15271.47	198185296	26.355639	73.3	6.697499
France	FRA	2020	42233.14	64480052	1.0732001	82.2	6.6899
France	FRA	2021	44993.125	64531448	1.13743	82.5	6.6867
Chile	CHL	2014	24197.184	17687108	2.4763799	79.5	6.67
France	FRA	2019	45922.793	64399760	1.1692591	82.7	6.6638
Chile	CHL	2016	24599.375	18083880	3.428468	80.1	6.652
Argentina	ARG	2015	23933.887	43257064	6.558466	76.8	6.65
Bahrain	BHR	2021	49387.418	1463266	0.068340294	78.8	6.6469
Bahrain	BHR	2020	47847.84	1477478	0	79.2	6.6469
Brazil	BRA	2016	14402.494	206859584	29.589155	74.4	6.635
Slovenia	SVN	2021	40036.484	2119408	0.4246466	80.7	6.6301
Malta	MLT	2017	43516.55	479507	1.6684151	83.6	6.6266
Qatar	QAT	2014	106141.33	2214471	0.4064188	79.8	6.611
Czechia	CZE	2016	37014.96	10527584	0.6174252	79	6.609
Malta	MLT	2020	40740.97	515364	1.3582791	83.4	6.602
Argentina	ARG	2016	23189.527	43668236	6.011234	76.3	6.599
Czechia	CZE	2015	36168.418	10523801	0.83620006	78.6	6.596
Mexico	MEX	2018	20278.217	124013864	29.581371	74	6.5945
Puerto Rico	PRI	2011	33224.574	3691615	31.93725	78.3	6.592634
France	FRA	2018	45245.96	64277812	1.0827998	82.6	6.5921
Costa Rica	CRI	2021	21199.281	5153959	11.40871	77	6.582
Italy	ITA	2011	42892.305	60025952	0.9196023	82.2	6.578179
Mexico	MEX	2016	19830.963	121519224	20.209972	74.4	6.578
United Arab Emirates	ARE	2021	69733.8	9365149	0.46982723	78.7	6.576
France	FRA	2014	43021.395	63588496	1.2455084	82.5	6.575
Kuwait	KWT	2011	61356.938	3143827	1.876695	78.5	6.574075
Argentina	ARG	2014	23550.1	42824064	7.53782	76.8	6.574
United Arab Emirates	ARE	2015	68076.63	8916909	0.67287964	79.2	6.573
Germany	DEU	2011	49757.926	81423384	0.9063736	80.4	6.572111
Singapore	SGP	2016	91146.09	5711936	0.31512976	83	6.572
Qatar	QAT	2011	111879.75	1804175	0.22170842	78.9	6.569056
Turkmenistan	TKM	2011	9379.144	5360813	1.8653892	68.6	6.567713
United Arab Emirates	ARE	2020	67668.29	9287286	0.6998813	78.9	6.5605
